name,varlab
DayDeaMeRaLANL20200916,Daily deaths mean raw LANL
DayDeaMeSmLANL20200916,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200916,Daily deaths mean smooth forecast only LANL
update_date20200916,update date
DayDeaMeRaLANL20200920,Daily deaths mean raw LANL
DayDeaMeSmLANL20200920,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200920,Daily deaths mean smooth forecast only LANL
update_date20200920,update date
DayDeaMeRaLANL20200923,Daily deaths mean raw LANL
DayDeaMeSmLANL20200923,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200923,Daily deaths mean smooth forecast only LANL
update_date20200923,update date
DayDeaMeRaLANL20200927,Daily deaths mean raw LANL
DayDeaMeSmLANL20200927,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200927,Daily deaths mean smooth forecast only LANL
update_date20200927,update date
DayDeaMeRaLANL20200930,Daily deaths mean raw LANL
DayDeaMeSmLANL20200930,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200930,Daily deaths mean smooth forecast only LANL
update_date20200930,update date
DayDeaMeRaLANL20201004,Daily deaths mean raw LANL
DayDeaMeSmLANL20201004,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201004,Daily deaths mean smooth forecast only LANL
update_date20201004,update date
DayDeaMeRaLANL20201007,Daily deaths mean raw LANL
DayDeaMeSmLANL20201007,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201007,Daily deaths mean smooth forecast only LANL
update_date20201007,update date
DayDeaMeRaLANL20201011,Daily deaths mean raw LANL
DayDeaMeSmLANL20201011,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201011,Daily deaths mean smooth forecast only LANL
update_date20201011,update date
DayDeaMeRaLANL20201014,Daily deaths mean raw LANL
DayDeaMeSmLANL20201014,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201014,Daily deaths mean smooth forecast only LANL
update_date20201014,update date
DayDeaMeRaLANL20201018,Daily deaths mean raw LANL
DayDeaMeSmLANL20201018,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201018,Daily deaths mean smooth forecast only LANL
update_date20201018,update date
DayDeaMeRaLANL20201021,Daily deaths mean raw LANL
DayDeaMeSmLANL20201021,Daily deaths mean smooth LANL
