name,varlab
DayDeaMeRaIHME20210923,Daily deaths mean raw IHME
DayDeaMeFoIHME20210923,Daily deaths mean smooth forecast only IHME
update_date20210923,update date
epoch20210923,epoch IHME
DayDeaMeSmIHME20210930,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20210930,Daily deaths mean raw IHME
DayDeaMeFoIHME20210930,Daily deaths mean smooth forecast only IHME
update_date20210930,update date
epoch20210930,epoch IHME
DayDeaMeSmIHME20211015,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20211015,Daily deaths mean raw IHME
DayDeaMeFoIHME20211015,Daily deaths mean smooth forecast only IHME
update_date20211015,update date
epoch20211015,epoch IHME
DayDeaMeSmIHME20211021,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20211021,Daily deaths mean raw IHME
DayDeaMeFoIHME20211021,Daily deaths mean smooth forecast only IHME
update_date20211021,update date
epoch20211021,epoch IHME
DayDeaMeSmIHME20211104,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20211104,Daily deaths mean raw IHME
DayDeaMeFoIHME20211104,Daily deaths mean smooth forecast only IHME
update_date20211104,update date
epoch20211104,epoch IHME
DayDeaMeSmIHME20211119,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20211119,Daily deaths mean raw IHME
DayDeaMeFoIHME20211119,Daily deaths mean smooth forecast only IHME
update_date20211119,update date
epoch20211119,epoch IHME
DayDeaMeSmIHME20211221,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20211221,Daily deaths mean raw IHME
DayDeaMeFoIHME20211221,Daily deaths mean smooth forecast only IHME
update_date20211221,update date
epoch20211221,epoch IHME
DayDeaMeSmIHME20220108,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220108,Daily deaths mean raw IHME
DayDeaMeFoIHME20220108,Daily deaths mean smooth forecast only IHME
update_date20220108,update date
epoch20220108,epoch IHME
DayDeaMeSmIHME20220114,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220114,Daily deaths mean raw IHME
DayDeaMeFoIHME20220114,Daily deaths mean smooth forecast only IHME
update_date20220114,update date
epoch20220114,epoch IHME
DayDeaMeSmIHME20220121,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220121,Daily deaths mean raw IHME
DayDeaMeFoIHME20220121,Daily deaths mean smooth forecast only IHME
update_date20220121,update date
epoch20220121,epoch IHME
DayDeaMeSmIHME20220204,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220204,Daily deaths mean raw IHME
DayDeaMeFoIHME20220204,Daily deaths mean smooth forecast only IHME
update_date20220204,update date
epoch20220204,epoch IHME
DayDeaMeSmIHME20220218,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220218,Daily deaths mean raw IHME
DayDeaMeFoIHME20220218,Daily deaths mean smooth forecast only IHME
update_date20220218,update date
epoch20220218,epoch IHME
DayDeaMeSmIHME20220321,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220321,Daily deaths mean raw IHME
DayDeaMeFoIHME20220321,Daily deaths mean smooth forecast only IHME
update_date20220321,update date
epoch20220321,epoch IHME
DayDeaMeSmIHME20220408,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220408,Daily deaths mean raw IHME
DayDeaMeFoIHME20220408,Daily deaths mean smooth forecast only IHME
update_date20220408,update date
epoch20220408,epoch IHME
DayDeaMeSmIHME20220506,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220506,Daily deaths mean raw IHME
DayDeaMeFoIHME20220506,Daily deaths mean smooth forecast only IHME
update_date20220506,update date
epoch20220506,epoch IHME
DayDeaMeSmIHME20220610,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220610,Daily deaths mean raw IHME
DayDeaMeFoIHME20220610,Daily deaths mean smooth forecast only IHME
update_date20220610,update date
epoch20220610,epoch IHME
DayDeaMeSmIHME20220719,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220719,Daily deaths mean raw IHME
DayDeaMeFoIHME20220719,Daily deaths mean smooth forecast only IHME
update_date20220719,update date
epoch20220719,epoch IHME
DayDeaMeSmIHME20220912,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20220912,Daily deaths mean raw IHME
DayDeaMeFoIHME20220912,Daily deaths mean smooth forecast only IHME
update_date20220912,update date
epoch20220912,epoch IHME
DayDeaMeSmIHME20221024,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20221024,Daily deaths mean raw IHME
DayDeaMeFoIHME20221024,Daily deaths mean smooth forecast only IHME
update_date20221024,update date
epoch20221024,epoch IHME
DayDeaMeSmIHME20221118,Daily deaths mean smoothed IHME
DayDeaMeRaIHME20221118,Daily deaths mean raw IHME
DayDeaMeFoIHME20221118,Daily deaths mean smooth forecast only IHME
update_date20221118,update date
epoch20221118,epoch IHME
DayDeaMeSmJOHNCMR,Daily deaths smooth mean JOHN CMR
