name,varlab
DayDeaMeFoIMPE20200614,Daily deaths mean smooth forecast only IMPE
update_date20200614,update date
DayDeaMeRaIMPE20200616,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200616,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200616,Daily deaths mean smooth forecast only IMPE
update_date20200616,update date
DayDeaMeRaIMPE20200619,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200619,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200619,Daily deaths mean smooth forecast only IMPE
update_date20200619,update date
DayDeaMeRaIMPE20200621,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200621,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200621,Daily deaths mean smooth forecast only IMPE
update_date20200621,update date
DayDeaMeRaIMPE20200623,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200623,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200623,Daily deaths mean smooth forecast only IMPE
update_date20200623,update date
DayDeaMeRaIMPE20200626,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200626,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200626,Daily deaths mean smooth forecast only IMPE
update_date20200626,update date
DayDeaMeRaIMPE20200628,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200628,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200628,Daily deaths mean smooth forecast only IMPE
update_date20200628,update date
DayDeaMeRaIMPE20200702,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200702,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200702,Daily deaths mean smooth forecast only IMPE
update_date20200702,update date
DayDeaMeRaIMPE20200703,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200703,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200703,Daily deaths mean smooth forecast only IMPE
update_date20200703,update date
DayDeaMeRaIMPE20200704,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200704,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200704,Daily deaths mean smooth forecast only IMPE
update_date20200704,update date
DayDeaMeRaIMPE20200707,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200707,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200707,Daily deaths mean smooth forecast only IMPE
update_date20200707,update date
DayDeaMeRaIMPE20200711,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200711,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200711,Daily deaths mean smooth forecast only IMPE
update_date20200711,update date
DayDeaMeRaIMPE20200714,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200714,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200714,Daily deaths mean smooth forecast only IMPE
update_date20200714,update date
DayDeaMeRaIMPE20200715,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200715,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200715,Daily deaths mean smooth forecast only IMPE
update_date20200715,update date
DayDeaMeRaIMPE20200718,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200718,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200718,Daily deaths mean smooth forecast only IMPE
update_date20200718,update date
DayDeaMeRaIMPE20200720,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200720,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200720,Daily deaths mean smooth forecast only IMPE
update_date20200720,update date
DayDeaMeRaIMPE20200722,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200722,Daily deaths mean smooth IMPE
