name,varlab
update_date20210909,update date
DayDeaMeRaDELP20210909,Daily deaths mean raw DELP
DayDeaMeSmDELP20210909,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210909,Daily deaths mean smooth forecast only DELP
update_date20210916,update date
DayDeaMeRaDELP20210916,Daily deaths mean raw DELP
DayDeaMeSmDELP20210916,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210916,Daily deaths mean smooth forecast only DELP
update_date20210923,update date
DayDeaMeRaDELP20210923,Daily deaths mean raw DELP
DayDeaMeSmDELP20210923,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210923,Daily deaths mean smooth forecast only DELP
update_date20210930,update date
DayDeaMeRaDELP20210930,Daily deaths mean raw DELP
DayDeaMeSmDELP20210930,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210930,Daily deaths mean smooth forecast only DELP
update_date20211007,update date
DayDeaMeRaDELP20211007,Daily deaths mean raw DELP
DayDeaMeSmDELP20211007,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211007,Daily deaths mean smooth forecast only DELP
update_date20211014,update date
DayDeaMeRaDELP20211014,Daily deaths mean raw DELP
DayDeaMeSmDELP20211014,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211014,Daily deaths mean smooth forecast only DELP
update_date20211021,update date
DayDeaMeRaDELP20211021,Daily deaths mean raw DELP
DayDeaMeSmDELP20211021,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211021,Daily deaths mean smooth forecast only DELP
update_date20211028,update date
DayDeaMeRaDELP20211028,Daily deaths mean raw DELP
DayDeaMeSmDELP20211028,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211028,Daily deaths mean smooth forecast only DELP
update_date20211104,update date
DayDeaMeRaDELP20211104,Daily deaths mean raw DELP
DayDeaMeSmDELP20211104,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211104,Daily deaths mean smooth forecast only DELP
update_date20211111,update date
DayDeaMeRaDELP20211111,Daily deaths mean raw DELP
DayDeaMeSmDELP20211111,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211111,Daily deaths mean smooth forecast only DELP
update_date20211118,update date
DayDeaMeRaDELP20211118,Daily deaths mean raw DELP
DayDeaMeSmDELP20211118,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211118,Daily deaths mean smooth forecast only DELP
update_date20211125,update date
DayDeaMeRaDELP20211125,Daily deaths mean raw DELP
DayDeaMeSmDELP20211125,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211125,Daily deaths mean smooth forecast only DELP
update_date20211202,update date
DayDeaMeRaDELP20211202,Daily deaths mean raw DELP
DayDeaMeSmDELP20211202,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211202,Daily deaths mean smooth forecast only DELP
update_date20211209,update date
DayDeaMeRaDELP20211209,Daily deaths mean raw DELP
DayDeaMeSmDELP20211209,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211209,Daily deaths mean smooth forecast only DELP
update_date20211216,update date
DayDeaMeRaDELP20211216,Daily deaths mean raw DELP
DayDeaMeSmDELP20211216,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211216,Daily deaths mean smooth forecast only DELP
update_date20211223,update date
DayDeaMeRaDELP20211223,Daily deaths mean raw DELP
DayDeaMeSmDELP20211223,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211223,Daily deaths mean smooth forecast only DELP
update_date20211230,update date
DayDeaMeRaDELP20211230,Daily deaths mean raw DELP
DayDeaMeSmDELP20211230,Daily deaths mean smooth DELP
DayDeaMeFoDELP20211230,Daily deaths mean smooth forecast only DELP
update_date20220106,update date
DayDeaMeRaDELP20220106,Daily deaths mean raw DELP
DayDeaMeSmDELP20220106,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220106,Daily deaths mean smooth forecast only DELP
update_date20220113,update date
DayDeaMeRaDELP20220113,Daily deaths mean raw DELP
DayDeaMeSmDELP20220113,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220113,Daily deaths mean smooth forecast only DELP
update_date20220114,update date
DayDeaMeRaDELP20220114,Daily deaths mean raw DELP
DayDeaMeSmDELP20220114,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220114,Daily deaths mean smooth forecast only DELP
update_date20220115,update date
DayDeaMeRaDELP20220115,Daily deaths mean raw DELP
DayDeaMeSmDELP20220115,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220115,Daily deaths mean smooth forecast only DELP
update_date20220116,update date
DayDeaMeRaDELP20220116,Daily deaths mean raw DELP
DayDeaMeSmDELP20220116,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220116,Daily deaths mean smooth forecast only DELP
update_date20220117,update date
DayDeaMeRaDELP20220117,Daily deaths mean raw DELP
DayDeaMeSmDELP20220117,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220117,Daily deaths mean smooth forecast only DELP
update_date20220118,update date
DayDeaMeRaDELP20220118,Daily deaths mean raw DELP
DayDeaMeSmDELP20220118,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220118,Daily deaths mean smooth forecast only DELP
update_date20220119,update date
DayDeaMeRaDELP20220119,Daily deaths mean raw DELP
DayDeaMeSmDELP20220119,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220119,Daily deaths mean smooth forecast only DELP
update_date20220120,update date
DayDeaMeRaDELP20220120,Daily deaths mean raw DELP
DayDeaMeSmDELP20220120,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220120,Daily deaths mean smooth forecast only DELP
update_date20220121,update date
DayDeaMeRaDELP20220121,Daily deaths mean raw DELP
DayDeaMeSmDELP20220121,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220121,Daily deaths mean smooth forecast only DELP
update_date20220122,update date
DayDeaMeRaDELP20220122,Daily deaths mean raw DELP
DayDeaMeSmDELP20220122,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220122,Daily deaths mean smooth forecast only DELP
update_date20220123,update date
DayDeaMeRaDELP20220123,Daily deaths mean raw DELP
DayDeaMeSmDELP20220123,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220123,Daily deaths mean smooth forecast only DELP
update_date20220124,update date
DayDeaMeRaDELP20220124,Daily deaths mean raw DELP
DayDeaMeSmDELP20220124,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220124,Daily deaths mean smooth forecast only DELP
update_date20220125,update date
DayDeaMeRaDELP20220125,Daily deaths mean raw DELP
DayDeaMeSmDELP20220125,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220125,Daily deaths mean smooth forecast only DELP
update_date20220126,update date
DayDeaMeRaDELP20220126,Daily deaths mean raw DELP
DayDeaMeSmDELP20220126,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220126,Daily deaths mean smooth forecast only DELP
update_date20220127,update date
DayDeaMeRaDELP20220127,Daily deaths mean raw DELP
DayDeaMeSmDELP20220127,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220127,Daily deaths mean smooth forecast only DELP
update_date20220128,update date
DayDeaMeRaDELP20220128,Daily deaths mean raw DELP
DayDeaMeSmDELP20220128,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220128,Daily deaths mean smooth forecast only DELP
update_date20220129,update date
DayDeaMeRaDELP20220129,Daily deaths mean raw DELP
DayDeaMeSmDELP20220129,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220129,Daily deaths mean smooth forecast only DELP
update_date20220130,update date
DayDeaMeRaDELP20220130,Daily deaths mean raw DELP
DayDeaMeSmDELP20220130,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220130,Daily deaths mean smooth forecast only DELP
update_date20220131,update date
DayDeaMeRaDELP20220131,Daily deaths mean raw DELP
DayDeaMeSmDELP20220131,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220131,Daily deaths mean smooth forecast only DELP
update_date20220201,update date
DayDeaMeRaDELP20220201,Daily deaths mean raw DELP
DayDeaMeSmDELP20220201,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220201,Daily deaths mean smooth forecast only DELP
update_date20220202,update date
DayDeaMeRaDELP20220202,Daily deaths mean raw DELP
DayDeaMeSmDELP20220202,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220202,Daily deaths mean smooth forecast only DELP
update_date20220203,update date
DayDeaMeRaDELP20220203,Daily deaths mean raw DELP
DayDeaMeSmDELP20220203,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220203,Daily deaths mean smooth forecast only DELP
update_date20220204,update date
DayDeaMeRaDELP20220204,Daily deaths mean raw DELP
DayDeaMeSmDELP20220204,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220204,Daily deaths mean smooth forecast only DELP
update_date20220205,update date
DayDeaMeRaDELP20220205,Daily deaths mean raw DELP
DayDeaMeSmDELP20220205,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220205,Daily deaths mean smooth forecast only DELP
update_date20220206,update date
DayDeaMeRaDELP20220206,Daily deaths mean raw DELP
DayDeaMeSmDELP20220206,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220206,Daily deaths mean smooth forecast only DELP
update_date20220207,update date
DayDeaMeRaDELP20220207,Daily deaths mean raw DELP
DayDeaMeSmDELP20220207,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220207,Daily deaths mean smooth forecast only DELP
update_date20220208,update date
DayDeaMeRaDELP20220208,Daily deaths mean raw DELP
DayDeaMeSmDELP20220208,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220208,Daily deaths mean smooth forecast only DELP
update_date20220209,update date
DayDeaMeRaDELP20220209,Daily deaths mean raw DELP
DayDeaMeSmDELP20220209,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220209,Daily deaths mean smooth forecast only DELP
update_date20220210,update date
DayDeaMeRaDELP20220210,Daily deaths mean raw DELP
DayDeaMeSmDELP20220210,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220210,Daily deaths mean smooth forecast only DELP
update_date20220211,update date
DayDeaMeRaDELP20220211,Daily deaths mean raw DELP
DayDeaMeSmDELP20220211,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220211,Daily deaths mean smooth forecast only DELP
update_date20220212,update date
DayDeaMeRaDELP20220212,Daily deaths mean raw DELP
DayDeaMeSmDELP20220212,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220212,Daily deaths mean smooth forecast only DELP
update_date20220213,update date
DayDeaMeRaDELP20220213,Daily deaths mean raw DELP
DayDeaMeSmDELP20220213,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220213,Daily deaths mean smooth forecast only DELP
update_date20220214,update date
DayDeaMeRaDELP20220214,Daily deaths mean raw DELP
DayDeaMeSmDELP20220214,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220214,Daily deaths mean smooth forecast only DELP
update_date20220215,update date
DayDeaMeRaDELP20220215,Daily deaths mean raw DELP
DayDeaMeSmDELP20220215,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220215,Daily deaths mean smooth forecast only DELP
update_date20220216,update date
DayDeaMeRaDELP20220216,Daily deaths mean raw DELP
DayDeaMeSmDELP20220216,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220216,Daily deaths mean smooth forecast only DELP
update_date20220217,update date
DayDeaMeRaDELP20220217,Daily deaths mean raw DELP
DayDeaMeSmDELP20220217,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220217,Daily deaths mean smooth forecast only DELP
update_date20220218,update date
DayDeaMeRaDELP20220218,Daily deaths mean raw DELP
DayDeaMeSmDELP20220218,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220218,Daily deaths mean smooth forecast only DELP
update_date20220219,update date
DayDeaMeRaDELP20220219,Daily deaths mean raw DELP
DayDeaMeSmDELP20220219,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220219,Daily deaths mean smooth forecast only DELP
update_date20220220,update date
DayDeaMeRaDELP20220220,Daily deaths mean raw DELP
DayDeaMeSmDELP20220220,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220220,Daily deaths mean smooth forecast only DELP
update_date20220221,update date
DayDeaMeRaDELP20220221,Daily deaths mean raw DELP
DayDeaMeSmDELP20220221,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220221,Daily deaths mean smooth forecast only DELP
update_date20220222,update date
DayDeaMeRaDELP20220222,Daily deaths mean raw DELP
DayDeaMeSmDELP20220222,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220222,Daily deaths mean smooth forecast only DELP
update_date20220223,update date
DayDeaMeRaDELP20220223,Daily deaths mean raw DELP
DayDeaMeSmDELP20220223,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220223,Daily deaths mean smooth forecast only DELP
update_date20220224,update date
DayDeaMeRaDELP20220224,Daily deaths mean raw DELP
DayDeaMeSmDELP20220224,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220224,Daily deaths mean smooth forecast only DELP
update_date20220225,update date
DayDeaMeRaDELP20220225,Daily deaths mean raw DELP
DayDeaMeSmDELP20220225,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220225,Daily deaths mean smooth forecast only DELP
update_date20220226,update date
DayDeaMeRaDELP20220226,Daily deaths mean raw DELP
DayDeaMeSmDELP20220226,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220226,Daily deaths mean smooth forecast only DELP
update_date20220227,update date
DayDeaMeRaDELP20220227,Daily deaths mean raw DELP
DayDeaMeSmDELP20220227,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220227,Daily deaths mean smooth forecast only DELP
update_date20220228,update date
DayDeaMeRaDELP20220228,Daily deaths mean raw DELP
DayDeaMeSmDELP20220228,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220228,Daily deaths mean smooth forecast only DELP
update_date20220301,update date
DayDeaMeRaDELP20220301,Daily deaths mean raw DELP
DayDeaMeSmDELP20220301,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220301,Daily deaths mean smooth forecast only DELP
update_date20220302,update date
DayDeaMeRaDELP20220302,Daily deaths mean raw DELP
DayDeaMeSmDELP20220302,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220302,Daily deaths mean smooth forecast only DELP
update_date20220303,update date
DayDeaMeRaDELP20220303,Daily deaths mean raw DELP
DayDeaMeSmDELP20220303,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220303,Daily deaths mean smooth forecast only DELP
update_date20220304,update date
DayDeaMeRaDELP20220304,Daily deaths mean raw DELP
DayDeaMeSmDELP20220304,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220304,Daily deaths mean smooth forecast only DELP
update_date20220305,update date
DayDeaMeRaDELP20220305,Daily deaths mean raw DELP
DayDeaMeSmDELP20220305,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220305,Daily deaths mean smooth forecast only DELP
update_date20220306,update date
DayDeaMeRaDELP20220306,Daily deaths mean raw DELP
DayDeaMeSmDELP20220306,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220306,Daily deaths mean smooth forecast only DELP
update_date20220307,update date
DayDeaMeRaDELP20220307,Daily deaths mean raw DELP
DayDeaMeSmDELP20220307,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220307,Daily deaths mean smooth forecast only DELP
update_date20220308,update date
DayDeaMeRaDELP20220308,Daily deaths mean raw DELP
DayDeaMeSmDELP20220308,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220308,Daily deaths mean smooth forecast only DELP
update_date20220309,update date
DayDeaMeRaDELP20220309,Daily deaths mean raw DELP
DayDeaMeSmDELP20220309,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220309,Daily deaths mean smooth forecast only DELP
update_date20220310,update date
DayDeaMeRaDELP20220310,Daily deaths mean raw DELP
DayDeaMeSmDELP20220310,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220310,Daily deaths mean smooth forecast only DELP
update_date20220311,update date
DayDeaMeRaDELP20220311,Daily deaths mean raw DELP
DayDeaMeSmDELP20220311,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220311,Daily deaths mean smooth forecast only DELP
update_date20220312,update date
DayDeaMeRaDELP20220312,Daily deaths mean raw DELP
DayDeaMeSmDELP20220312,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220312,Daily deaths mean smooth forecast only DELP
update_date20220313,update date
DayDeaMeRaDELP20220313,Daily deaths mean raw DELP
DayDeaMeSmDELP20220313,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220313,Daily deaths mean smooth forecast only DELP
update_date20220314,update date
DayDeaMeRaDELP20220314,Daily deaths mean raw DELP
DayDeaMeSmDELP20220314,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220314,Daily deaths mean smooth forecast only DELP
update_date20220315,update date
DayDeaMeRaDELP20220315,Daily deaths mean raw DELP
DayDeaMeSmDELP20220315,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220315,Daily deaths mean smooth forecast only DELP
update_date20220316,update date
DayDeaMeRaDELP20220316,Daily deaths mean raw DELP
